"

L.p.","

Nazwa SKN","Sprawoz- danie za 2020
(t- tak, n-nie)","

Liczba pkt. za 2020","

Liczba pkt. do finansowania","

Przyznane œrodki na 2021"
27,Studenckie Ko³o Naukowe Jakoœci Qualitas,t,45,45,"1 305,39 z³"
28,Studenckie Ko³o Naukowe Maksimus,t,21,21,"609,18 z³"
29,Studenckie Ko³o Naukowe Gospodarki ¯ywnoœciowej,t,197,197,"5 714,69 z³"
30,Studenckie Ko³o Naukowe Ekonomii Zrównowa¿onego Rozwoju,t,59,59,"1 711,51 z³"
31,Studenckie Ko³o Naukowe Rynku Lotniczego,t,10,10,"290,09 z³"
"
32",Studenckie Ko³o Naukowe Rozwoju i Stymulowania Przedsiêbiorczoœci Target,"
t","
3","
3","
87,03 z³"
33,Studenckie Ko³o Naukowe HaeR,t,2,2,"58,02 z³"
34,Studenckie Ko³o Naukowe Polityki Spo³ecznej,n,b.d.,brak wniosku,- z³
35,Studenckie Ko³o Naukowe PRyzmat,t,35,35,"1 015,30 z³"
"
36",Studenckie Ko³o Naukowe Socjologiczno-Filozoficzne Intersophia,"
t","
9","
9","
261,08 z³"
37,Studenckie Ko³o Naukowe Klub Debat UEP,t,8,8,"232,07 z³"
38,Studenckie Ko³o Naukowe TAX,t,27,27,"783,23 z³"
39,Studenckie Ko³o Naukowe Pecunia Moderna,t,13,13,"377,11 z³"
40,Studenckie Ko³o Naukowe Ubezpieczeñ Premium,n,b.d.,brak wniosku,- z³
"
41","
Studenckie Ko³o Naukowe Bankier (Studenckie Ko³o Naukowe Bankowoœci i Poœrednictwa Finansowego)","
t","
8","
8","
232,07 z³"
42,Studenckie Ko³o Naukowe Inwestycji Kapita³owych Profit,t,27,27,"783,23 z³"
43,Studenckie Ko³o Naukowe Kultura i Ekonomia Wina,t,10,10,"290,09 z³"
"
44",Studenckie Ko³o Naukowe Audytu Wewnêtrznego i Compliance,"
t","
0","
rycza³t","
700,00 z³"
45,Studenckie Ko³o Naukowe EUrope,t,26,26,"754,22 z³"
"
46","
Studenckie Ko³o Naukowe Biznesu Miêdzynarodowego Synergy Group","
t","
2","
2","
58,02 z³"
47,Studenckie Ko³o Naukowe Logistyki AElogic,t,0,0,- z³
"
48",Studenckie Ko³o Naukowe Marketingu Miêdzynarodowego Advantis,"
t","
0","
0","
- z³"
"
49",Studenckie Ko³o Naukowe Stosunków Miêdzynarodowych w rejonie Azji i Pacyfiku „Go East”,"
n","
b.d.","
brak wniosku","
- z³"
"
50",Studenckie Ko³o Naukowe Studenckie Centrum Badañ Turystycznych EXPLORERS,"
t","
4","
4","
116,03 z³"
51,Studenckie Ko³o Naukowe Portfolio,t,5,5,"145,04 z³"
52,Studenckie Ko³o Naukowe In¿ynierii Finansowej,t,4,4,"116,03 z³"
53,Studenckie Ko³o Naukowe Estymator,t,1,brak wniosku,- z³
54,Studenckie Ko³o Naukowe Cyberbezpieczeñstwo,t,0,0,- z³
55,Studenckie Ko³o Naukowe Akademickie Ko³o Aplikacji Internetowych AKAI,t,55,55,"1 595,47 z³"
56,Studenckie Ko³o Naukowe Data Science,t,9,9,"261,08 z³"
57,"Studenckie Ko³o Naukowe Inteligentnych Metod
Obliczeniowych",t,1,rycza³t,"700,00 z³"
58,Studenckie Ko³o Naukowe Pracownia Systemów IT,t,0,rycza³t,"700,00 z³"
59,Studenckie Ko³o Naukowe Logistyki Prolog,n,b.d.,brak wniosku,- z³
